Violation ID,Vehicle ID,First Occurrence,Last Occurrence,Violation Status,Violation Type,Bus Route ID,Violation Latitude,Violation Longitude,Stop ID,Stop Name,Bus Stop Latitude,Bus Stop Longitude,Violation Georeference,Bus Stop Georeference
398852635,c7e616822f366fb1b5e0756af498cc11d2c0862edcb32ca65882f622ff39de1b,12/28/2023 07:17:01 AM,12/28/2023 09:03:26 AM,DRIVER/VEHICLE INFO MISSING,MOBILE BUS LANE,B44+,40.6955,-73.956311,303417,BEDFORD AV/LAFAYETTE AV,40.689351,-73.955002,POINT (-73.956311 40.6955),POINT (-73.955002 40.689351)
398852630,03223b698576b77ab513f63834c5863648e63f4dc72a8e5148dc98aae871cb10,12/28/2023 03:11:15 PM,12/28/2023 03:21:23 PM,VIOLATION ISSUED,MOBILE BUS LANE,B44+,40.63192,-73.947577,901278,NOSTRAND AV/AV H,40.631827,-73.947438,POINT (-73.947577 40.63192),POINT (-73.947438 40.631827)
398852625,540f71cf591f935c01821206f7d5e02afcff6f5ce583ae294311159818814b8a,12/28/2023 05:00:35 PM,12/28/2023 05:16:35 PM,VIOLATION ISSUED,MOBILE BUS LANE,B44+,40.63122,-73.947516,303376,NOSTRAND AV/AV L,40.62188,-73.945851,POINT (-73.947516 40.63122),POINT (-73.945851 40.62188)
398852623,ba90c0afd34f14d0d38f8cf60d087d1ce5de46167f8564a94ced4a20e6fe5d0c,12/28/2023 03:03:06 PM,12/28/2023 03:15:09 PM,VIOLATION ISSUED,MOBILE BUS LANE,B44+,40.694446,-73.952361,303441,LEE AV/FLUSHING AV,40.699506,-73.953484,POINT (-73.952361 40.694446),POINT (-73.953484 40.699506)
398852621,27c024dce4935d6ddb801abd6cdb12e326cd26249c0f67602969a7439289f262,12/28/2023 09:48:28 AM,12/28/2023 09:53:49 AM,VIOLATION ISSUED,MOBILE BUS LANE,B44+,40.630187,-73.947422,303376,NOSTRAND AV/AV L,40.62188,-73.945851,POINT (-73.947422 40.630187),POINT (-73.945851 40.62188)
398852620,82d7ad6c617cf9ce587bfa3dc093c9f7352d23696781cf460d25ef8329c4c19f,12/28/2023 05:33:21 PM,12/28/2023 05:45:11 PM,VIOLATION ISSUED,MOBILE BUS LANE,B44+,40.633554,-73.947744,303477,NOSTRAND AV/NEWKIRK AV,40.640085,-73.948517,POINT (-73.947744 40.633554),POINT (-73.948517 40.640085)
398852619,c7e616822f366fb1b5e0756af498cc11d2c0862edcb32ca65882f622ff39de1b,12/28/2023 08:30:36 AM,12/28/2023 08:50:38 AM,DRIVER/VEHICLE INFO MISSING,MOBILE BUS LANE,B44+,40.695507,-73.956316,303417,BEDFORD AV/LAFAYETTE AV,40.689351,-73.955002,POINT (-73.956316 40.695507),POINT (-73.955002 40.689351)
398852617,aef972d6a97f19b8bb9d7fcfd6cbdaf3a1cb6edd0c00ed51cf2f0011f9b97ac2,12/28/2023 03:29:36 PM,12/28/2023 03:51:16 PM,VIOLATION ISSUED,MOBILE BUS LANE,B44+,40.633329,-73.947725,303477,NOSTRAND AV/NEWKIRK AV,40.640085,-73.948517,POINT (-73.947725 40.633329),POINT (-73.948517 40.640085)
398852609,ece8061a5b75cac13e6484f492492d20cbe74e3f34c6602717be845a43f43075,12/28/2023 10:59:35 AM,12/28/2023 11:23:38 AM,VIOLATION ISSUED,MOBILE BUS LANE,B44+,40.654057,-73.949888,303469,NOSTRAND AV/CLARKSON AV,40.655011,-73.950113,POINT (-73.949888 40.654057),POINT (-73.950113 40.655011)
398852606,d233d94290adaa63c0fe2793e812c9f705fcee9d3e389e8451362ed6acd93481,12/28/2023 02:21:14 PM,12/28/2023 02:29:07 PM,VIOLATION ISSUED,MOBILE BUS LANE,B44+,40.632382,-73.947605,901278,NOSTRAND AV/AV H,40.631827,-73.947438,POINT (-73.947605 40.632382),POINT (-73.947438 40.631827)
