Violation ID,Vehicle ID,First Occurrence,Last Occurrence,Violation Status,Violation Type,route_id_left,Stop ID,Stop Name,geometry,index_right,route_id_right,direction,segment_number,speed,trips,dist_meters,longitude,latitude
349127249,78942661d12816dd6eb997ab98cc8283c66a772e974329fbe94032c99d7de850,01/06/2023 04:15:18 PM,01/06/2023 04:21:20 PM,VIOLATION ISSUED,MOBILE BUS LANE,B44+,303477,NOSTRAND AV/NEWKIRK AV,POINT (-73.9477133333333 40.63383),19,B44+,S,2,8.73438164052674,6736,4.448587278010224e-05,-73.9477133333333,40.63383
349127172,df11c4be006dcc8c4fb40e34aef82410f29777a74755fd9b02bc97a60f013c66,01/06/2023 03:45:25 PM,01/06/2023 03:59:26 PM,VIOLATION ISSUED,MOBILE BUS LANE,B44+,303477,NOSTRAND AV/NEWKIRK AV,POINT (-73.9477581666667 40.6334736666667),19,B44+,S,2,8.73438164052674,6736,2.455093773314548e-05,-73.9477581666667,40.6334736666667
349127083,8331f52a0df6d58f6ff664562b0e6c5b08cb68bb52f8e82ff7d601531684eab5,01/06/2023 04:34:58 PM,01/06/2023 04:50:34 PM,VIOLATION ISSUED,MOBILE BUS LANE,B44+,303477,NOSTRAND AV/NEWKIRK AV,POINT (-73.9478656666667 40.6353693333333),19,B44+,S,2,8.73438164052674,6736,4.389864653515788e-05,-73.9478656666667,40.6353693333333
349127080,175edbf70ec4ae6d51fecd7cb32888286581dcf347e76f332d0e7d598a533e37,01/06/2023 03:22:04 PM,01/06/2023 03:40:40 PM,TECHNICAL ISSUE/OTHER,MOBILE BUS LANE,B44+,307737,NOSTRAND AV/CHURCH AV,POINT (-73.94877 40.6439631666667),19,B44+,S,2,8.73438164052674,6736,5.919411449171035e-05,-73.94877,40.6439631666667
349127076,4d950e3015381fda95ab5103e305f0ea94eb891a8739b40427ac33b777917e6d,01/06/2023 04:19:47 PM,01/06/2023 04:35:09 PM,TECHNICAL ISSUE/OTHER,MOBILE BUS LANE,B44+,303477,NOSTRAND AV/NEWKIRK AV,POINT (-73.9477583333333 40.634625),19,B44+,S,2,8.73438164052674,6736,7.498259057328687e-05,-73.9477583333333,40.634625
349127056,e67f93dc05f4ff83fd26c9dc3e646271962272fb49a4630304e1dc87448e34c4,01/06/2023 04:13:00 PM,01/06/2023 04:19:00 PM,VIOLATION ISSUED,MOBILE BUS LANE,B44+,303477,NOSTRAND AV/NEWKIRK AV,POINT (-73.947755 40.63487),19,B44+,S,2,8.73438164052674,6736,0.00010321325511706826,-73.947755,40.63487
349126904,11355463720b1a80cd0101dbb31736a4d12761ca7e49d83f5054b665e3657ccb,01/06/2023 04:41:28 PM,01/06/2023 04:49:33 PM,VIOLATION ISSUED,MOBILE BUS LANE,B44+,303469,NOSTRAND AV/CLARKSON AV,POINT (-73.9495353333333 40.6512506666667),19,B44+,S,2,8.73438164052674,6736,8.960229415261673e-05,-73.9495353333333,40.6512506666667
349126860,490cfde55e2d7fb62b03bf15ed02e76c99b49e58a1fce08f2fd346777179bdfd,01/06/2023 04:05:35 PM,01/06/2023 04:18:52 PM,VIOLATION ISSUED,MOBILE BUS LANE,B44+,303459,NOSTRAND AV/ST JOHNS PL,POINT (-73.9508433333333 40.66543),19,B44+,S,2,8.73438164052674,6736,4.9687984624923486e-05,-73.9508433333333,40.66543
349123640,841a0a5fe5e9d213c84fd7b7eac104da417db6c733bdb55312a66f7f7ed13bc9,01/06/2023 05:05:00 PM,01/06/2023 05:23:00 PM,VIOLATION ISSUED,MOBILE BUS LANE,B44+,303477,NOSTRAND AV/NEWKIRK AV,POINT (-73.94773717 40.633556),19,B44+,S,2,8.73438164052674,6736,2.013333219831765e-06,-73.94773717,40.633556
349123639,db65e08092b5190af9745aaa79365feb31c6a68b7bf69bbc890265d57c7c4a35,01/06/2023 05:02:29 PM,01/06/2023 05:22:27 PM,EXEMPT - BUS/PARATRANSIT,MOBILE BUS LANE,B44+,303477,NOSTRAND AV/NEWKIRK AV,POINT (-73.9480136666667 40.63603),19,B44+,S,2,8.73438164052674,6736,3.614939919008085e-05,-73.9480136666667,40.63603
